Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.982,2032.56,0.0,0.0,0.0,1.0,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.962,2032.56,0.0,0.0,0.0,1.0,957.884,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.942,2032.56,0.0,0.0,0.0,1.0,988.894,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.922,2032.56,0.0,0.0,0.0,1.0,1036.0,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.902,2032.56,0.0,0.0,0.0,1.0,1099.77,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.882,2032.56,0.0,0.0,0.0,1.0,1180.5,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
Current Lap Time,Distance From Start,Distance Raced,Gear,Last Lap Time,Race Position,RPM,SpeedX,SpeedY,SpeedZ,Track Position,Angle,Z (Altitude),Wheel_#0_Spin,Wheel_#1_Spin,Wheel_#2_Spin,Wheel_#3_Spin
-0.862,2032.56,0.0,0.0,0.0,1.0,1278.9,-0.000612781,0.00284858,-0.000184746,0.333666,0.00969284,0.345609,0.0,0.0,0.0,0.0
